player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
Sahibzada Farhan,Pakistan,2018,2024,8,8,0,8,0,82,39,FALSE,10.25,83,98.79518072289156,0,0,1,6,4,0,0,0,NA,NA,0,0,0,5,5,5,0,0,2
Sahil Chauhan,EST,2023,2024,13,12,5,13,5,454,144,TRUE,33.285714285714285,185,108.24324324324324,1,1,1,21,36,10,0,6,7.2,4/19,1,0,0,3,3,3,0,0,2
Sahir Naqash,GER,2019,2023,38,27,31,38,11,1028,51,TRUE,19.174418604651162,277,72.67017882629503,0,1,6,28,12,89.3,0,43,7.374301675977653,3/24,0,0,0,15,15,15,0,0,2
Said Hakim,Belg,2021,2024,3,3,0,3,1,57,27,FALSE,28.5,59,96.61016949152544,0,0,0,9,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Saif Hassan,BAN,2020,2023,11,16,5,15,1,266,50,TRUE,Inf,64,Inf,0,1,5,1,3,5.1,0,1,4.959677419354839,1/22,0,0,0,1,1,1,0,0,1
Saif Ullah Malik,MAS,2024,2024,1,1,0,1,0,2,2,FALSE,2,3,66.66666666666666,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Saif-Ul Islam,NOR,2023,2023,2,2,0,2,0,12,6,FALSE,6,26,46.15384615384615,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Saiful Islam,BAN,1990,1997,7,7,7,7,0,512,NA,FALSE,42.666666666666664,0,50.5,0,0,0,0,0,0,0,6,5.069306930693069,4/36,1,0,0,0,0,0,0,0,0
Saim Ayub,Pakistan,2023,2024,3,34,7,37,0,839,77,FALSE,Inf,253,Inf,0,3,4,34,15,5,0,3,6.534343434343435,2/101,0,0,0,19,19,19,0,0,7
Saim Hussain,BUL,2022,2023,18,17,0,17,2,578,108,TRUE,38.53333333333333,394,146.7005076142132,1,4,1,51,26,0,0,0,NA,NA,0,0,0,9,8,0,8,1,2
