Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
D Simpson,COK,2022,2022,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Siva Kumar,United States of America,2022,2022,1,1,2,0,11,0,Inf,5.5,Inf,NA,0,0,0
D Smith,England,1935,1935,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Soraine,Canada,2006,2012,4,3,0,0,94,3,31.333333333333332,4.991150442477877,37.666666666666664,2/57,0,0,0
D Suzuki,Japan,2022,2024,37,32,72,2,501,18,27.833333333333332,6.958333333333333,24,3/37,0,0,0
D Tallon,Australia,1946,1953,21,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Taylor,South Africa,1914,1914,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Teinaki,COK,2022,2022,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Traore,Mali,2022,2023,7,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Tresac,SRB,2023,2023,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Uwimana,RWN,2021,2021,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Visser,Samoa,2024,2024,6,6,22,1,147,12,12.25,6.681818181818182,11,4/11,1,0,0
D Wabwire,UGA,2023,2023,7,7,21.1,1,149,7,21.285714285714285,7.039370078740157,18.142857142857146,3/24,0,0,0
D Weston,GER,2019,2019,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Wheatley,Bhm,2022,2023,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Wiese (Nam/Sa),NA,2013,2024,69,69,180.4,2,1985,74,33.87514124293786,6.387420078407025,33.75310734463277,5/23,1,1,0
D Williams,West Indies,1988,1998,47,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Wilson,England,1964,1971,6,12,0,0,466,11,42.36363636363637,1.8994565217391304,133.8181818181818,2/17,0,0,0
D Wotu,VAN,2022,2024,17,16,52.3,0,378,14,27,7.2,22.5,3/21,0,0,0
D Young,STHEL,2024,2024,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Allen,England,1960,1966,39,65,0,0,3779,122,30.975409836065573,2.007081526068868,92.59836065573771,5/30,0,4,0
Da Blignaut,GER,2021,2023,29,21,45.4,1,341,18,18.944444444444443,7.467153284671533,15.222222222222221,4/18,1,0,0
Da Gunawardene,Sri Lanka,1998,2006,67,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Marillier,Zimbabwe,2000,2003,53,41,0,0,1557,41,35.21969696969697,3.92205729467483,54.233333333333334,4/57,1,0,0
Da Mehta,TAN,2022,2023,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Miller,South Africa,2010,2023,173,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Miller (Sa/World),NA,2010,2024,129,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Minors,BER,2006,2007,20,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Murray,West Indies,1973,1982,29,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Payne,England,2022,2022,1,1,0,0,38,1,38,4.222222222222222,54,1/38,0,0,0
Da Rankin,Ireland,2015,2016,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Reeve,England,1991,1996,32,33,0,0,880,22,35.5,3.35277906180699,65.925,3/20,0,0,0
Da Renneberg,Australia,1966,1968,8,15,0,0,830,23,36.08695652173913,3.11639549436796,69.47826086956522,5/39,0,2,0
Da Sharpe,Pakistan,1959,1959,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Da Stirling,New Zealand,1984,1986,12,16,0,0,808,19,40.36538461538461,4.523281596452328,55.19230769230769,4/88,0,0,0
